[GIN] 2022/07/02 - 14:25:42 | 200 |     940.855µs |       127.0.0.1 | GET      "/v1/agency/"
[GIN] 2022/07/02 - 14:25:42 | 200 |     651.236µs |       127.0.0.1 | GET      "/v1/agency/"
[GIN] 2022/07/02 - 14:25:42 | 200 |     574.268µs |       127.0.0.1 | GET      "/v1/agency/"
[GIN] 2022/07/02 - 14:25:42 | 200 |     762.315µs |       127.0.0.1 | GET      "/v1/agency/"
[GIN] 2022/07/02 - 14:25:43 | 200 |     661.692µs |       127.0.0.1 | GET      "/v1/agency/"
[GIN] 2022/07/02 - 14:25:43 | 200 |     755.856µs |       127.0.0.1 | GET      "/v1/agency/"
[GIN] 2022/07/02 - 14:27:12 | 200 |     868.765µs |       127.0.0.1 | GET      "/v1/agency/"
[GIN] 2022/07/02 - 14:27:12 | 200 |     693.377µs |       127.0.0.1 | GET      "/v1/agency/"
[GIN] 2022/07/02 - 14:27:12 | 200 |     873.597µs |       127.0.0.1 | GET      "/v1/agency/"
[GIN] 2022/07/02 - 14:27:13 | 200 |     649.603µs |       127.0.0.1 | GET      "/v1/agency/"
[GIN] 2022/07/02 - 14:27:13 | 200 |     651.063µs |       127.0.0.1 | GET      "/v1/agency/"
